"activityId","title","description","imageUrl","status","createdAt"
ACT1756717423151,สำนักดาบพิฆาตอสูร,ให้ทุกท่านค้นหาอันตรายในภาพ และระบุว่าอันตรายที่อาจเกิดขึ้นคืออะไรมีวิธีการดำเนินการป้องกันและแก้ไขอย่างไร[no-image],https://res.cloudinary.com/ddvmr1z07/image/upload/v1756993755/safety-spot/i8zuzz2rvypziwlimiwm.jpg,active,"2025-09-01 16:03:43"
ACT1756807875584,เขตก่อสร้างอาคาร สตง.,ให้ทุกท่านค้นหาอันตรายในภาพ และระบุว่าอันตรายที่อาจเกิดขึ้นคืออะไรมีวิธีการดำเนินการป้องกันและแก้ไขอย่างไร,https://res.cloudinary.com/ddvmr1z07/image/upload/v1756975462/safety-spot/rzfvp8kvt7kdlslpsnpm.jpg,inactive,"2025-09-02 17:11:15"
ACTffa39349-4306-4433-8ade-d6f9fb88d96f,ต.ตลาดขาดรัก,ให้ทุกท่านค้นหาอันตรายในภาพ และระบุว่าอันตรายที่อาจเกิดขึ้นคืออะไรมีวิธีการดำเนินการป้องกันและแก้ไขอย่างไร,https://res.cloudinary.com/ddvmr1z07/image/upload/v1756977208/safety-spot/vhxeduoodkpiqltumkjs.jpg,inactive,"2025-09-04 16:13:29"
